iteration,objective,step_size
0,175.91916651660034,0.30257919612865625
1,58.27450499061878,0.6405064665343683
2,17.05395694006513,0.2968210611475723
3,5.236264328212589,0.6536620907226748
4,1.6516193451759,0.29874043849786686
5,0.5677693244387328,0.6744952197456879
6,0.20958839661942819,0.3018460592396737
7,0.08926505149821323,0.7000733211189462
8,0.044434031768558355,0.3068710581981944
9,0.02724464614834084,0.7476707912365191
10,0.01951979129400701,0.31737415907396366
11,0.015809726684741836,0.8328157374293685
12,0.01350357552422862,0.3281572976766073
13,0.011964916053228573,0.8885438261763159
14,0.010740646908703988,0.3312629175519949
15,0.009750054107973225,
