iteration,objective,step_size
0,1292.5,0.0661242246840494
1,480.29836230011773,0.1925892897055027
2,215.27631658300788,0.06804360289371861
3,131.92064037043588,0.22884356132534417
4,90.63040697364106,0.0716431837685502
5,67.77719794998319,0.23990672992381562
6,51.17552986839682,0.07188236083700801
7,39.049869550773366,0.24266620963288282
8,29.943551216951622,0.07192321756368855
9,23.110423298737206,0.24458558706834682
10,17.908620475857454,0.07192321756368855
11,13.95604271596195,0.24646410985935435
12,10.91644740525994,0.07188236083700801
13,8.586302526771307,0.24855655922096004
14,6.779558962445937,0.07181625425860123
15,5.384539991904885,0.250929041991433
16,4.294593958921373,0.07177539738975981
17,3.447179790564085,0.2525022792052481
18,2.7819861376446755,0.07177539738975981
19,2.2607341218948465,0.25420773125504975
20,1.8479612451218985,0.07177539738975981
21,1.521681580907852,0.25612710990631854
22,1.2607653229467959,0.07177539738975981
23,1.0525260108487065,0.2582604150229102
24,0.8842103874656285,0.07177539738975981
25,0.7484324783675552,0.2606328975519637
26,0.637389918887932,0.07177539738975981
27,0.5467570098974359,0.2631123451759344
28,0.47171053840594984,0.07177539738975981
29,0.40970595215994093,0.26593793071199967
30,0.3576547409344531,0.07177539738975981
31,0.3140876223360932,0.268483483579208
32,0.27707822377207264,0.07177539738975981
33,0.2456926817863124,0.2712021067704822
34,0.21868040176751138,0.07177539738975981
35,0.19549269837366293,0.273508482284911
36,0.1753216611850885,0.07177539738975981
37,0.15780994600769604,0.27577400141500014
38,0.14241539110066742,0.07177539738975981
39,0.12891640929441142,0.2775203097026267
40,0.1169592725507855,0.07177539738975981
41,0.1063815838854463,0.2790274407883421
42,0.096945102003313,0.07177539738975981
43,0.088540930157785,0.2803867522496943
44,0.08099769763885141,0.07170929057697813
45,0.07424016928685309,0.28331930211786976
46,0.06811862143420552,0.07160232737114935
47,0.0626121413537213,0.28565092823543337
48,0.057614004922548055,0.07149536378340324
49,0.05310174566468439,0.28830344414082226
50,0.048990546562608206,0.07136315021047751
51,0.045268655380325006,0.2913021006048196
52,0.041866350666088556,0.07125618643933114
53,0.038779777688116766,0.2930892655805781
54,0.0359615208665095,0.07119007988372095
55,0.03339916706724968,0.2946216473274475
56,0.03105617989032635,0.07114922343803622
57,0.028921874618618126,0.29559396225658247
58,0.026969230277298792,0.07108311667084766
59,0.025186538621085296,0.29790033847413594
60,0.023546631370888825,0.07097615332721174
61,0.022047058157851955,0.30044589031432134
62,0.020664287784030917,0.07086919006605458
63,0.019397594152992772,0.3028183728846142
64,0.01822804570999311,0.07076222643437834
65,0.017154694110980535,0.30551174642869605
66,0.016160945199210658,0.07069611949787856
67,0.015247204277319903,0.3065249175191939
68,0.01440319702762208,0.0706300127860184
69,0.013625129687669074,0.3092435391691022
70,0.01290162960536624,0.07052304929753084
71,0.012233249615093252,0.3120030211877237
72,0.011610318010832666,0.07041608616982704
73,0.011033475887914156,0.314828607144255
74,0.010494547297408079,0.07030912212472934
75,0.009994298992282519,
